Item,,Code,Description,หน่วย,QTY,ม้วนเต็ม,เศษ,QTY,ม้วน,เศษ,QTY,ม้วน,เศษ,Location,หมายเหตุ
75,Citel sl co'ltd,RM2062408002,ผ้า Acrylic 01262 เท็กซเจอร์ วอลนัท 1.20ม.,เมตร,1,0,0,1,0,0,0,0,0,WH1-MEETINGROOM,
76,Citel sl co'ltd,RM2062408003,ผ้า Acrylic 00105 เท็กซเจอร์ กราโนล่า 1.20ม.,เมตร,1,0,0,1,0,0,0,0,0,WH1-MEETINGROOM,
77,Citel sl co'ltd,RM2062408004,ผ้า Acrylic 00231 ซอฟท์โบน 1.20ม.,เมตร,1,0,0,1,0,0,0,0,0,WH1-MEETINGROOM,
78,Citel sl co'ltd,RM2062408005,ผ้า Acrylic 00228 ซอฟท์ ซูเอด บราวน์ 1.20ม.,เมตร,1,0,0,1,0,0,0,0,0,WH1-MEETINGROOM,
79,Citel sl co'ltd,RM7070805001,ผ้า Acrylic สีขาว 001 หน้ากว้าง 1.20 ม.,เมตร,156.7,1,96.7,189.1,1,98.7,-32.4,0,-2,"WH2-A101,A303,E101,E102",(60x1)+55.95+40.75
80,Citel sl co'ltd,RM7070805002,ผ้า Acrylic สีแดง 040 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),เมตร,40.2,0,40.2,40.2,0,32.2,0,0,8,WH2-ชั้นบน,หมดแล้วหมดเลย
81,Citel sl co'ltd,RM7070805003,ผ้า Acrylic สีกาแฟ 005FR หน้ากว้าง 1.20 ม.,เมตร,0,0,0,3.2,0,3.2,3.2,0,3.2,WH2-D103,
82,Citel sl co'ltd,RM7070805005,ผ้า Acrylic สีฟ้าเข้ม 007 หน้ากว้าง 1.20 ม.,เมตร,508,8,23.2,526.54,8,59.71,-18.54,0,-36.5,"WH2-A101,A103,D103,E101,E102",(60x7)+(65x1)+15.2+8
83,Citel sl co'ltd,RM7070805006,ผ้า Acrylic สีขาวสลับน้ำเงิน 012 หน้ากว้าง 1.20 ม.,เมตร,430.84,7,9.48,434.48,7,3.4,-3.64,0,6.08,"WH2-D103,A101",(60x3)+60.8+60.05+60.01+60
84,Citel sl co'ltd,RM7070805008,ผ้า Acrylic สีขาวสลับครีม 044 หน้ากว้าง 1.20 ม.,เมตร,150.63,2,30.6,203.59,3,23.55,-52.96,-1,7.05,"WH2-D103,B301,A303,E101,E102",(60.02x1)+(60.01x1)+30.6
85,Citel sl co'ltd,RM7070805010,ผ้า Acrylic สีเทา 067 หน้ากว้าง 1.20 ม.,เมตร,760.14,13,60.78,901.89,13,148.67,-141.75,0,-87.89,"WH2-D103,A103,E101,E102",(60x5)+53.34+(60.01x2)+53.8+53+54.6+64.6+44.58+5.6+10.6
86,Citel sl co'ltd,RM7070805011,ผ้า Acrylic สีกากี 068 หน้ากว้าง 1.20 ม.,เมตร,333.14,5,72.01,313.29,5,17.13,19.85,0,-54.88,"WH2-A304-E101,E102",51.71+43.54+44.57+58.86+30+27.61+14.41
87,Citel sl co'ltd,RM7070805012,ผ้า Acrylic สีเทาเข้ม 098 หน้ากว้าง 1.20 ม.,เมตร,1167.3,18,72.5,1254.09,18,105.91,-86.8,0,-33.41,"WH2-E102,C205,A304",(60.01x3)+60+60.04+60.01+60.01+60+60+60.02+60.02+60.01+60.05+60.01+60.01+60.86+60.01+60.01
88,Citel sl co'ltd,RM7070805013,ผ้า Acrylic สีน้ำตาลลาย 113 หน้ากว้าง 1.20 ม.,เมตร,1031.9,16,57.71,1114.58,16,85.36,-82.68,0,-27.65,"WH2-A101,D103,A303,E101,E102",(60.01x9)+69.03+60.01+65+60+60.05+60.01+60+7.4+16.1+7+7.5+19.71
89,Citel sl co'ltd,RM7070805014,ผ้า Acrylic สีอิฐลาย 184 หน้ากว้าง 1.20 ม.,เมตร,40.97,0,40.97,40.22,0,40.22,0.75,0,0.75,"WH2-E101,A304,D103",21.97+19
90,Citel sl co'ltd,RM7070805015,ผ้า Acrylic สีส้มอิฐสลับครีม 018 หน้ากว้าง 1.20 ม.,เมตร,119.8,1,30.6,155.47,1,78.45,-35.67,0,-47.85,"WH2-D103,E101,E102",53.2+40+14.8+11.8
91,Citel sl co'ltd,RM7070805016,ผ้า Acrylic สีแสด 004 หน้ากว้าง 1.20 ม.,เมตร,356,5,55.9,360.59,5,58.65,-4.59,0,-2.75,"WH2-A101,D103,E101,E102",(60.01x2)+60.05+60.02+60.01
92,Citel sl co'ltd,RM7070805017,ผ้า Acrylic สีเหลือง 003 หน้ากว้าง 1.20 ม.,เมตร,75.84,1,15.84,92.83,1,25.23,-16.99,0,-9.39,"WH2-A101,E101.E102",60+15.84
93,Citel sl co'ltd,RM7070805018,ผ้า Acrylic สีส้มอิฐ 036 หน้ากว้าง 1.20 ม.,เมตร,343.05,5,43.1,314.07,5,13.71,28.98,0,29.39,"WH2-D103,E101,E102",60+60.01+60.01+59.93+60+31.60+11.5
94,Citel sl co'ltd,RM7070805019,ผ้า Acrylic สีเหลืองสลับขาว 011 หน้ากว้าง 1.20 ม.,เมตร,280.3,4,34.8,280.43,4,34.13,-0.13,0,0.67,"WH2-D103,E101,E102",34.8
95,Citel sl co'ltd,RM7070805020,ผ้า Acrylic สีเขียวแก่สลับขาว 019 หน้ากว้าง 1.20 ม.,เมตร,487.56,7,71.41,479.67,7,59.59,-7.89,0,11.82,"WH2-D103,E101,E102,A303",60+60.01+60.01+56.04+60.02+60.06+60.01
96,Citel sl co'ltd,RM7070805021,ผ้า Acrylic สีแดงสลับขาว 028 หน้ากว้าง 1.20 ม.,เมตร,176.14,3,19.55,173.19,3,22.57,2.95,0,-3.02,"WH2-D103,E101,E102",(60x2)+36.59+19.55
97,Citel sl co'ltd,RM7070805023,ผ้า Acrylic สีน้ำเงิน 077 หน้ากว้าง 1.20 ม.,เมตร,186,3,6,158.33,2,38.26,27.67,1,-32.26,"WH2-A303,E101,E102",(60x3)+6
98,Citel sl co'ltd,RM7070805034,ผ้า Acrylic สีครีมเข้ม 181 หน้ากว้าง 1.20 ม. (หมดแล้วหมดเลย),เมตร,0,0,0,34.78,0,40.28,-34.78,0,-40.28,WH2-C203,
99,Citel sl co'ltd,RM7070805036,ผ้า Acrylic สีแดงเข้ม 035 หน้ากว้าง 1.20 ม.,เมตร,163.6,2,43.6,196.55,2,96.64,-32.95,0,-53.04,"WH2-E101,E102,D103",(60x2)+43.6
100,Citel sl co'ltd,RM7070805039,ผ้า Acrylic สีส้มลาย 487 หน้ากว้าง 1.20 ม.,เมตร,65,1,5,75.95,1,20.75,-10.95,0,-15.75,"WH2-D201,E101,E102",(60x1)+5
101,Citel sl co'ltd,RM7070805041,ผ้า Acrylic สีแดงลาย 109 หน้ากว้าง 1.20 ม.,เมตร,38.4,0,38.4,50.55,0,52.9,-12.15,0,-14.5,"WH2-D201,E101,E102",38.4
102,Citel sl co'ltd,RM7070805042,ผ้า Acrylic สีขาวสลับสีดำ 014 หน้ากว้าง 1.20 ม.,เมตร,1933.2,32,36,1936.84,31,54.34,-3.63,1,-18.34,"WH2-E102,A204,A302,E106",(60x10)+60.10+62.1+(65x3)+64+69+53.8+54.9+58.4+55.5+57.5+54.1+53.6+(60x2)+65.2+60.15+65.1+60+60.01+60.05
103,Citel sl co'ltd,RM7070805043,ผ้า Acrylic สีขาวสลับสีเทาอ่อน 017 หน้ากว้าง 1.20 ม.,เมตร,409.03,6,49.26,448.4,6,87.09,-39.37,0,-37.83,"WH2-E102,D103",60.10+59.84+60+59.83+(60x2)+9.35+39.91
104,Citel sl co'ltd,RM7070805044,ผ้า Acrylic สีเขียวสด 006 หน้ากว้าง 1.20 ม.,เมตร,561.79,9,22.8,545.27,9,19.54,-16.52,0,-3.26,"WH2-A204,D103,E101",(60x4)+59.59+59.38+60.01+60.01+60
105,Citel sl co'ltd,RM7070805045,ผ้า Acrylic สีดำ 039 หน้ากว้าง 1.20 ม.,เมตร,153.68,3,0,177.5,3,43.17,-23.82,0,-43.17,"WH2-A303,D1013,E101,E102",51.64+50.04+52.01
106,Citel sl co'ltd,RM7070805046,ผ้า Acrylic สีเลือดหมู 060 หน้ากว้าง 1.20 ม.,เมตร,222,3,42,296.39,3,60.98,-74.39,0,-18.98,"WH2-A304,D103,E101,E102",(60x3)+42
107,Citel sl co'ltd,RM7070805047,ผ้า Acrylic สีเขียวแก่ 072 หน้ากว้าง 1.20 ม.,เมตร,223.83,3,43.76,254.68,3,86.84,-30.85,0,-43.08,"WH2-A304,A303,D103,E101,E102",60.03+60.04+60+11.8+10+6.5+7+6.73+1.73
108,Citel sl co'ltd,RM7070806002,ผ้า Acrylic สีครีม 7548 MAX หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),เมตร,41.5,0,41.5,41.5,0,41.5,0,0,0,WH2-C203,41.5
