sku,description,default_length,default_grade
RM2061608002,ผ้า Solar max สีแดง 3001 (Sioen B8000) (630g)หน้ากว้าง 3.20 ม. ยาว 65 ม (หมดแล้วหมดเลย),-1.0,-
RM2061609001,Sunbrella Style # 4604 Natural หน้ากว้าง 1.18 ม.,-1.0,-
RM2061610001,ผ้า Sioen B-7189 สีขาว 9002 หน้ากว้าง 2.50 ม.,-1.0,-
RM2061611001,ผ้า Acrylic สีครีมคาดขาวลายไม้ 551 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),0.0,-
RM2061611002,ผ้า Acrylic สีดำลาย 677 หน้ากว้าง 1.20 ม.,900.08,-
RM2061611003,ผ้า Fairtex (HIGH CLASS FABRICS) กว้าง 0.80 ม. NUS109 (สีขาว),-1.0,-
RM2061612001,ผ้าอะคริลิค สีขาว-น้ำเงิน NO.016 หน้ากว้าง 1.20 ม./59.93หลา),-1.0,-
RM2061701001,ผ้าอะคริลิค RECACRIL LTDO.830 UTIEL/เขียวสลับครีม หน้ากว้าง 1.20 ม,-1.0,-
RM2061703001,ผ้า Solar max สีขาว 9002 (Sioen B8000) (630g) หน้ากว้าง 3.00 ม. ยาว 65 เมตร,-1.0,-
RM2061703002,พลาสติกใส ใน หนา 0.50 มม. หน้ากว้าง 1.37 ม. (45 เมตร/ม้วน),-1.0,-
RM2061704001,Sunbrella Plus Limen 5050 หน้ากว้าง 1.20 ม.,-1.0,-
RM2061705001,ผ้า Sioen T0108F/T0117F(650g) สีขาว 9909 หน้ากว้าง 2.50 ม ยาว 65 ม.,-1.0,-
RM2061705002,ผ้าตาข่ายกันยุงสีดำ ยาว 50 ม.,-1.0,-
RM2061706001,ผ้า Acrylic สีกาแฟสลับสีส้ม 524 หน้ากว้าง 1.20 ม. (หมดแล้วหมดเลย),107.7,-
RM2061706002,ผ้า Acrylic สีลายแดงเทาส้ม 662 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),61.15,-
RM2061707001,ผ้า Sioen B-6997/1622 หน้ากว้าง 3.00 ม. ยาว 50 เมตร (สีเบจ),-1.0,-
RM2061707002,ผ้า Sioen B-7465 (450g) สีขาว 9917 หน้ากว้าง 2.50 ม. ยาว 65.00 ม.,2766.3,-
RM2061708001,Sunbrella Style # 4615 SMOKE หน้ากว้าง 1.18 ม.,-1.0,-
RM2061710001,Tarpaulin PVC coated 600g - 0.45 mm (W:1.12m*L:100m) White #8346,-1.0,-
RM2061710002,ผ้า Sunbrella Furniture foster-Classic 56050-0000 หน้ากว้าง 1.50 ม.,-1.0,-
RM2061710003,ผ้า Sioen P-7450 สีขาว 9917 หน้ากว้าง 2.81 ม.,-1.0,-
RM2061711001,ผ้า Acrylic สีเขียวลายทาง 483 หน้ากว้าง 1.40 ม.(หมดแล้วหมดเลย),-1.0,-
RM2061711002,ผ้า PVC สีขาว (W801) หน้ากล้าง 1.50 ม ยาว 54 เมตร,-1.0,-
RM2061712001,ผ้า Sioen P-7450 (450g) สีขาว 9917 หน้ากว้าง 2.49 ม,-1.0,-
RM2061712002,ผ้า PVC สีขาว WH-002/420D (18*17) หนา 0.45 ม.หน้ากว้าง 42 / 1.08 ม. (A),-1.0,-
RM2061805001,ผ้า PVC โปร่งแสง Solar View สีโอรส หน้ากว้าง 1.50 m.,40.7,-
RM2061805002,ผ้า PVC โปร่งแสง Solar View สีเหลือง หน้ากว้าง 1.50 m.,72.8,-
RM2061805003,ผ้า Ferrari 302-50331 สีเทาอ่อน หน้ากว้าง 1.80 ม./ย. 15 ม.,3.6,-
RM2061805004,ผ้า Ferrari 505 -White Color Standard Roll หน้ากว้าง 2.70 ม.,50.0,-
RM2061805005,ผ้า Sioen T2118FA (1050g) สีขาว 9909 หน้ากว้าง 3.00 ม/ย.100 ม.,705.7,-
RM2061807001,ผ้า Ferrari 1002-8636S2 สีขาว หน้ากว้าง 2.67 ม. ยาว 50 เมตร/70 เมตร/35 เมตร,106.53,-
RM2061807002,ผ้า Ferrari 302-50377 Hemp หน้ากว้าง 1.80 ม./ย.15 ม.,15.0,-
RM2061807003,ผ้า Ferrari 302-50378 Anthracite หน้ากว้าง 1.80 ม./ย.15 ม.,15.0,-
RM2061807004,ผ้า Sioen E1224/3188 สีส้ม (1200g). หน้ากว้าง 2.50 ม.,-1.0,-
RM2061808001,ผ้าใบ PVC SOLAR VIEW สีน้ำตาล K-559 หนา 0.5 mm. หน้ากว้าง 1.50 ม.,1500.6,-
RM2061808002,ผ้า PVC #1000D สีขาว กว้าง 1.50 ม.,-1.0,-
RM2061810001,ผ้า Sioen T1108/T1117F (725g) สีขาว 9909 หน้ากว้าง 2.50 ม. ยาว100 ม.,10.0,-
RM2061810002,ผ้า Solar max สีขาว 9002 (Sioen B8064) (630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,-1.0,-
RM2061810003,ผ้า Solar max สีดำ 7999 (Sioen B8064)(630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.(หมดแล้วหมดเลย),88.5,-
RM2061811001,ผ้า Vinistar Super (PVC) สีใส 1.00 mm. หน้ากว้าง 1.37 ม./ยาว 30 m.,-1.0,-
RM2061811002,ผ้า Vinistar LS 0.75 mm.x137cm.x30 m./roll,-1.0,-
RM2061811003,ผ้าอะคริลิค RECACRIL R-161 Gris Gray หน้ากว้าง 1.20 ม,-1.0,-
RM2061811004,ผ้า PVC SUPER SLIM สีเขียวหัวเป็ด หน้ากว้าง 1.83 ม. ยาว 18 ม. (สินค้าตัวอย่าง),-1.0,-
RM2061901001,Sunbrella Style # 4654 Limen Tweed หน้ากว้าง 1.18 ม,-1.0,-
RM2061902001,ผ้าสานสีขาว/หน้าเดียว (63 เมตร/ม้วน),-1.0,-
RM2061902002,ผ้า Polyester 100% Oxford 210D x 210D Dk.Grey (PU. Coat) หน้ากว้าง 1.55 ม.ยาว 135 เมตร,-1.0,-
RM2061903001,ผ้า Solar Screen สี Black/Pearl N-930 หน้ากว้าง 3.00 เมตร 5%,-1.0,-
RM2061905001,ผ้า Solar max สีเทาเข้ม 7024 (Sioen B8064) (630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,-1.0,-
RM2061905002,ผ้า Solar max สีน้ำตาล 8020 (Sioen B8000) (630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,76.0,-
RM2061905003,ผ้า Solar max สีส้ม 3018 (Sioen B8064) (630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,-1.0,-
RM2061905004,ผ้า Solar max สีเทาอ่อน 7001 (Sioen B8064) (630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.,176.5,-
RM2061905005,Commercial 95 GUN METAL # 455262 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),-1.0,-
RM2061906001,ผ้าใบ STAR BOARD Q105 หน้ากว้าง 2.44 ม. ยาว 25 เมตร/ม้วน,-1.0,-
RM2061906002,ผ้า Ferrari 402-8035R (BLUE WHITE)หน้ากว้าง 1.80 ม./ย.50 ม.,102.1,-
RM2061906003,ผ้า Ferrari 402-8014R (BLUE WHITE)หน้ากว้าง 1.80 ม./ย.50 ม.,-1.0,-
RM2061907001,ผ้า PVC โปร่งแสง Solar View สีขาวใส 101 หน้ากว้าง 1.55 m. (แบบบาง),-1.0,-
RM2061908001,ผ้า Solar Sand K-2128T (LW45) สีเลือดหมู หนา 50mm. หน้ากว้าง 2.04cm. ยาว 10 เมตร,0.0,-
RM2061908002,ผ้า Solar Sand K-8123T (LW45) สีเทา หนา 50mm. หน้ากว้าง 2.04cm. ยาว 10 เมตร,0.0,-
RM2061909001,ผ้า PVC สีเขียวแก่ ขนาด ก.2.04*100 ม./ม้วน,-1.0,-
RM2061909002,ผ้า PVC สีเทาเข้ม ขนาด ก.2.04*100 ม./ม้วน,-1.0,-
RM2061909003,ผ้า PVC สีเทาอ่อน ขนาด ก.2.04*100 ม. / ม้วน,-1.0,-
RM2061909004,ผ้า PVC สีเลือดหมู ขนาด ก.2.04*100 ม./ม้วน,-1.0,-
RM2061909005,ผ้า PVC สีครีม ขนาด ก.2.04*100 ม./ม้วน,-1.0,-
RM2061909006,ผ้า PVC สีน้ำตาล ขนาด ก.2.04*100 ม./ม้วน,-1.0,-
RM2061909007,ผ้า PVC สีน้ำเงิน ขนาด ก.2.04*100 ม./ม้วน,-1.0,-
RM2061909008,ผ้า Solar max สีครีม 1623 (Sioen B8064)(630g) หน้ากว้าง 2.50 ม. ยาว 65 ม.(หมดแล้วหมดเลย),14.0,-
RM2061910001,Sunbrella Style # 4988 Cooper Black หน้ากว้าง 1.18 ม.,8.8,-
RM2061910002,ผ้า Sioen B7465 (450g) สีขาว 9002 หน้ากว้าง 2.50 ม. ยาว 65.00 ม.,-1.0,-
RM2061910003,ผ้า Solar Sand สีเขียวแก่ Forest Green 6687/F-014 W 2.04 m.x 100 m./R.,400.0,-
RM2061910004,ผ้า Solar Sand สีเทาอ่อน Earth Grey 6088/E-005 W 2.04 m.x 100 m./R.,1450.3,-
RM2061910005,ผ้า Solar Sand สีเทาเข้ม Deep Grey 8203/D-055 W 2.04 m.x 100 m./R.,1019.0,-
RM2061910006,ผ้า Solar Sand สีน้ำตาล Olive Brown 4621/O-026 W 2.04 m.x 100 m./R.,1455.0,-
RM2061910007,ผ้า Solar Sand สีน้ำเงิน Navy Blue 6022/N-041 W 2.04 m.x 100 m./R.,1600.0,-
RM2061910008,ผ้า Solar Sand สีเลือดหมู Burgundy 8206/B-333 W 2.04 m.x 100 m./R.,1617.9,-
RM2061911001,Canvas-F Fal -T250119,-1.0,-
RM2061911002,ผ้า Sioen T0108FA/T0117FA(650g) สีขาว 9909 หน้ากว้าง 3.00 ม ยาว 100 ม.,1061.0,-
RM2061911003,ผ้า Sioen B-7466 (450g) สีขาว 9917 หน้ากว้าง 2.50 ม. ยาว 65.00 ม.,-1.0,-
RM2061912001,ผ้า Solar Screen สี White - Grey N-003 หน้ากว้าง 3.00 ม 5%,315.0,-
RM2061912002,ผ้า Ferrari 1002-3399S2 สีขาว หน้ากว้าง 1.78 ม. ยาว 50 เมตร/42 เมตร (โปร่งแสง),41.5,-
RM2062001001,ผ้ากระสอบดิบไม่เคลือบ หน้ากว้าง 1.25 ม. (49'') ยาว 101.50 เมตร,-1.0,-
RM2062002001,ผ้า Solar Screen สี White P111 หน้ากว้าง 2.50 ม 1% / JV2001071,-1.0,-
RM2062002002,ผ้า Solar Screen สี White P501 หน้ากว้าง 2.50 ม 5%,-1.0,-
RM2062002003,ผ้า Solar Screen สี Black/Bronze N-945 หน้ากว้าง 3.00 เมตร 5%,-1.0,-
RM2062004001,ผ้า Ferrari SOLTIS 92-2045 หน้ากว้าง 1.77 ม,5.45,-
RM2062006001,ผ้าสานสีน้ำเงิน/สองหน้า (63 เมตร/ม้วน),378.0,-
RM2062007001,ผ้า Solar Sand สีครีม W 3.20 m.x 50 m./R.,38.0,-
RM2062008001,ผ้า Sioen T0108F/T0117F(650g) สีขาว 9909F หน้ากว้าง 3.00 ม ยาว 100 ม.(หมดแล้วหมดเลย),176.06,-
RM2062011001,4798 Burgundy / Black / White Fabric Width 46'',-1.0,-
RM2062011002,Commercial 95 NAVY BLUE # 445010 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),-1.0,-
RM2062011003,Commercial 95 SKY BLUE # 445034 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),-1.0,-
RM2062012002,ผ้า 600D-F 60'' x 50 หลา (เขียวสด),-1.0,-
RM2062012003,ผ้า Solar Screen 180Tex สี Black/Pearl N-930 หน้ากว้าง 3.00 เมตร 5% (หมดแล้วหมดเลย),-1.0,-
RM2062012004,ผ้า Solar Screen 180Tex สี Black/Bronze N-945 หน้ากว้าง 3.00 เมตร 5%,-1.0,-
RM2062101001,ผ้า Acrylic #2227 หน้ากว้าง 1.50 ม.,0.0,-
RM2062101002,ผ้า Sioen T2118F (1050g) สีขาว 9909 หน้ากว้าง 2.50 ม/ย.65 ม.,-1.0,-
RM2062101003,ผ้า Sioen T1108/T1117F (725g) สีขาว 9909F หน้ากว้าง 3.00 ม ย.100 ม./,722.25,-
RM2062101004,ผ้า Sioen T2118F (1050g) สีขาว 9909 หน้ากว้าง 3.00 ม/ย.100 ม.,600.0,-
RM2062102001,Print Tent Fabric 260g/sqm size 17.05 x 2.00m /34.10sqm. (Project SHOP D-SS),-1.0,-
RM2062102002,Print Supralon fabric 110g/sqm. w.6.60m. x 2.30 m. /15.18sqm. (Project บ.ฤทธา ),-1.0,-
RM2062102003,Print Supralon fabric 110g/sqm. w.6.20m. x 2.30 m. /14.26sqm. (Project บ.ฤทธา ),-1.0,-
RM2062102004,Print Supralon fabric 110g/sqm. w.5.80m. x 2.30 m. /13.34sqm. (Project บ.ฤทธา ),-1.0,-
RM2062102005,Sunbrella Plus Carbone 5015 หน้ากว้าง 1.20 ม./ ยาว 60 เมตร,-1.0,-
RM2062102006,ผ้า Sunbrella Acrylic Sualeda 8487 Antracita หน้ากว้าง 1.53 เมตร,0.0,-
RM2062103001,ผ้า Ferrari Stam 6002-10387 สีวานิลา หน้ากว้าง 2.60 m/38 m.,-1.0,-
RM2062103002,Sunbrella Style # 602749 TAUPE/ Mineral AGORA NAUTIC RIOJA หน้ากว้าง 1.53m.,-1.0,-
RM2062103003,ผ้า Sioen E1224/3188 สีส้ม (1200g). ขนาด 1.00x50 m. (18ม้วน),900.0,-
RM2062103004,ผ้า Sioen E1224/3188 สีส้ม (1200g). ขนาด 1.45x20 m. (1 ม้วน),20.0,-
RM2062103005,ผ้า Sioen E1224/3188 สีส้ม (1200g). ขนาด 1.43x25 m. (1 ม้วน),-1.0,-
RM2062103006,ผ้าอะคริลิค RECACRIL R-138 NUBE/CADEY GREY หน้ากว้าง 1.20 ม,-1.0,-
RM2062106001,Sunbrella Plus 5382 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062106002,Sunbrella Plus 5386 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062106003,ผ้า PVC โปร่งแสง Solar View สีขาวใส 101 หน้ากว้าง 1.50 m.,-1.0,-
RM2062106004,ผ้า Acrylic #2717 หน้ากว้าง 1.50 ม.,0.0,-
RM2062108001,ผ้าอะคริลิค RECACRIL R-115 CREMA/CREAM หน้ากว้าง 1.20 ม,-1.0,-
RM2062108002,ผ้าใบคูนีล่อน สีเทาอ่อน No.8000 หน้ากว้าง 45'' ( 1.14 เมตร) K813,-1.0,-
RM2062109001,Sunbrella Plus Limen Tweed 6054หน้ากว้าง 1.50 ม.,-1.0,-
RM2062110001,Commercial 95 BLACK # 444945 หน้ากว้าง 3.00 ม. (40 ม./ม้วน),140.0,-
RM2062110002,ผ้า Ferrari 381-50708 สีขาว หน้ากว้าง 2.67 ม. ยาว 23 เมตร/28 เมตร/25 เมตร,-1.0,-
RM2062110003,LONA MASACRIL STRIPES 2359 AZUL REAL/N 120 cm. / น้ำเงินสลับขาว,-1.0,-
RM2062110004,"ผ้า Ferrari 832 -1051 BLUE หน้ากว้าง 2.70 ม./ ยาว 7 เมตร, 8 เมตร (JV2110049)",-1.0,-
RM2062112001,Commercial Heavy 430gsm./ 3.00x40M Dessert sand 484309,43.7,-
